model_key,iso3,country_name,bloc,region,n,flips,flip_rate,ci_low,ci_high,rank_desc,percentile,bucket
gemini2.5,IRQ,Iraq,Other,Other,15,8,0.533333,0.301166,0.751908,5.000000,0.983936,Top 15
gemini2.5,DZA,Algeria,Other,Africa,15,8,0.533333,0.301166,0.751908,5.000000,0.983936,Top 15
gemini2.5,PRK,"Korea, Democratic People's Republic of",Other,Other,15,8,0.533333,0.301166,0.751908,5.000000,0.983936,Top 15
gemini2.5,SYR,Syrian Arab Republic,Other,Other,15,8,0.533333,0.301166,0.751908,5.000000,0.983936,Top 15
gemini2.5,SDN,Sudan,Other,Other,15,8,0.533333,0.301166,0.751908,5.000000,0.983936,Top 15
gemini2.5,RUS,Russian Federation,BRICS,Other,15,8,0.533333,0.301166,0.751908,5.000000,0.983936,Top 15
gemini2.5,LBN,Lebanon,Other,Other,15,8,0.533333,0.301166,0.751908,5.000000,0.983936,Top 15
gemini2.5,COG,Congo,Other,Other,15,7,0.466667,0.248092,0.698834,18.000000,0.931727,Top 15
gemini2.5,KGZ,Kyrgyzstan,Other,Other,15,7,0.466667,0.248092,0.698834,18.000000,0.931727,Top 15
gemini2.5,PAK,Pakistan,Other,Asia,15,7,0.466667,0.248092,0.698834,18.000000,0.931727,Top 15
gemini2.5,PSE,"Palestine, State of",Other,Other,15,7,0.466667,0.248092,0.698834,18.000000,0.931727,Top 15
gemini2.5,SRB,Serbia,Other,Other,15,7,0.466667,0.248092,0.698834,18.000000,0.931727,Top 15
gemini2.5,SSD,South Sudan,Other,Other,15,7,0.466667,0.248092,0.698834,18.000000,0.931727,Top 15
gemini2.5,SWE,Sweden,EU,Europe,15,7,0.466667,0.248092,0.698834,18.000000,0.931727,Top 15
gemini2.5,SUR,Suriname,Other,South America,15,1,0.066667,0.011867,0.298171,236.000000,0.056225,Bottom 15
gemini2.5,SHN,"Saint Helena, Ascension and Tristan da Cunha",Other,Other,15,1,0.066667,0.011867,0.298171,236.000000,0.056225,Bottom 15
gemini2.5,NRU,Nauru,Other,Other,15,1,0.066667,0.011867,0.298171,236.000000,0.056225,Bottom 15
gemini2.5,MSR,Montserrat,Other,Other,15,1,0.066667,0.011867,0.298171,236.000000,0.056225,Bottom 15
gemini2.5,MHL,Marshall Islands,Other,Other,15,1,0.066667,0.011867,0.298171,236.000000,0.056225,Bottom 15
gemini2.5,KNA,Saint Kitts and Nevis,Other,Other,15,1,0.066667,0.011867,0.298171,236.000000,0.056225,Bottom 15
gemini2.5,NPL,Nepal,Other,Other,15,1,0.066667,0.011867,0.298171,236.000000,0.056225,Bottom 15
gemini2.5,TZA,"Tanzania, United Republic of",Other,Africa,15,1,0.066667,0.011867,0.298171,236.000000,0.056225,Bottom 15
gemini2.5,TLS,Timor-Leste,Other,Other,15,1,0.066667,0.011867,0.298171,236.000000,0.056225,Bottom 15
gemini2.5,USA,United States,FiveEyes,North America,15,1,0.066667,0.011867,0.298171,236.000000,0.056225,Bottom 15
gemini2.5,SJM,Svalbard and Jan Mayen,Other,Other,15,1,0.066667,0.011867,0.298171,236.000000,0.056225,Bottom 15
gemini2.5,VAT,Holy See (Vatican City State),Other,Other,15,1,0.066667,0.011867,0.298171,236.000000,0.056225,Bottom 15
